group_id,parent_group_id,group_number,name,name_ua
839,,155057014,Ремонт і будівництво,Ремонт і будівництво
906,839,155057044,ЛФМ,ЛФМ
907,839,155057045,Будівельна хімія,Будівельна хімія
850,,155057028,Зберігання,Зберігання
893,,155057033,Набори інструментів,Набори інструментів
894,,155057034,Ручний інструмент,Ручний інструмент
896,,155057036,Пневматичний інструмент,Пневматичний інструмент
898,,155057037,Будівельний інструмент,Будівельний інструмент
899,,155057038,Малярно-штукатурний інструмент,Малярно-штукатурний інструмент
901,,155057039,Садові інструменти,Садові інструменти
902,,155057040,Оснащення для інструменту,Оснащення для інструменту
903,839,155057041,Сантехніка,Сантехніка
1339,,155057048,Приналежності для ванної та туалету,Приналежності для ванної та туалету
1342,839,155057049,Зварювальне обладнання,Зварювальне обладнання
5437,,155057064,Посуд і кухонне приладдя,Посуд і кухонне приладдя
879,850,155057117,"Сумки, чохли для інструментів","Сумки, чохли для інструментів"
940,893,155057126,Набори ключів,Набори ключів
943,893,155057127,Набори викруток,Набори викруток
945,894,155057128,Ключі,Ключі
946,894,155057129,Викрутки,Вікрутки
949,894,155057132,"Перехідники, кардани","Перехідники, кардани"
983,901,155057152,"Садові пили, ножівки","Садові пили, ножівки"
984,901,155057153,Пістолети і насадки для поливу,Пістолети і насадки для поливу
985,901,155057154,"Дощувателі, зрошувачі, крапельниці для поливу","Дощувателі, зрошувачі, крапельниці для поливу"
987,901,155057156,Шланги для поливу,Шланги для поливання
992,898,155057159,"Будівельні ножі, ножиці","Будівельні ножі, ножиці"
993,898,155057160,Механічні степлери,Механічні степлери
994,898,155057161,Струбцини і затискачі,Струбцини і затискачі
996,898,155057163,Монтажні пістолети,Монтажні пістолети
998,898,155057165,Будівельні рівні,Будівельні рівні
999,898,155057166,Вимірювальні рулетки,Вимірювальні рулетки
1000,898,155057167,Ручні заклепники,Ручні заклепники
1002,898,155057169,Ручні ножиці по металу,Ручні ножиці по металу
1003,898,155057170,Болторізи,Болторізи
1004,898,155057171,"Пасатижі, плоскогубці, тонкогубці","Пасатижі, плоскогубці, тонкогубці"
1005,898,155057172,"Бокорізи, кусачки","Бокорізи, кусачки"
1006,898,155057173,"Ручні пили, ножівки","Ручні пили, ножівки"
1007,898,155057174,"Ручні труборізи, ножиці для труб","Ручні труборізи, ножиці для труб"
1009,898,155057175,"Молотки, кувалди, киянки","Молотки, кувалді, киянки"
1010,898,155057176,Сокири,Сокири
1011,898,155057177,"Ломи, цвяходери","Ломи, цвяходери"
1014,898,155057180,Драбини,Драбини
1017,898,155057183,"Пробійники, зубила, борідки","Пробійники, зубила, борідки"
1018,898,155057184,"Ручні різці, стамески","Ручні різці, стамески"
1019,899,155057185,Шпателі,Шпателі
1020,899,155057186,Малярно-штукатурні валики,Малярно-штукатурні валики
1023,899,155057188,Кельми,Кельмі
1024,902,155057189,Заклепки,Заклепки
1025,902,155057190,"Скоби, цвяхи для будівельних степлерів","Скоби, цвяхи для будівельних степлерів"
1028,902,155057193,"Свердла, бури по бетону","Свердла, бурі для бетону"
1031,902,155057196,"Свердлильні коронки, кільцеві пилки","Свердлильні коронки, кільцеві пилки"
1036,903,155057199,Змішувачі для кухні,Змішувачі для кухні
1037,903,155057200,Змішувачі для раковини,Змішувачі для раковини
1110,894,155057219,Магнітний інструмент,Магнітний інструмент
1330,903,155057222,Комплектуючі для сантехніки,Комплектуючі для сантехніки
1344,1339,155057231,Аксесуари для ванних кімнат,Аксесуари для ванних кімнат
13792,5437,155057352,Точилки для ножів,Точилки для ножів
34489,902,155057417,Біти для викруток,Біти для викруток
34491,898,155057419,Ручні рубанки,Ручні рубанки
1022,899,155097303,Насадки для будівельного міксера,Насадки для будівельного міксера
1035,903,155371607,Змішувачі для ванни,Змішувачі для ванни
1038,903,155371608,Змішувачі для душа,Змішувачі для душа
1008,898,155485200,Ручні плиткорізи,Ручні плиткорізи
1033,902,155485201,"Малярні стрічки, скотч","Малярні стрічки, скотч"
1095538899,,155908386,Измерительный инструмент и разметка,Вимірювальний інструмент і розмітка
1095050959,,155908387,Столярный инструмент,Столярний інструмент
1114201846,1095538899,155908388,"Столярные уголки, шины, направляющие","Столярні куточки, шини, напрямні"
1139723190,1095050959,155908389,Ножовки,Ножівки
1114201641,1095538899,155908390,Рулетки строительные,Рулетки будівельні
1137379642,1095538899,155908391,Штангенциркули,Штангенциркулі
1139725572,1139723190,155908392,"Складные, садовые","Складані, садові"
1139723329,1139723190,155908393,Японские двухсторонние RYOBA,Японські двосторонні RYOBA
1139723342,1139723190,155908394,Японские односторонние KATABA,Японські односторонні KATABA
1052808855,,155938205,Ножи и лезвия,Ножі та леза
