sku,supplier,status,prom_offer_id,prom_group_id,fallback_price
1917242,SIGMA,ACTIVE,29713,902,854.00
1958775,SIGMA,ACTIVE,23040,902,452.00
2821042,SIGMA,ACTIVE,3092,993,824.00
4100222,SIGMA,ACTIVE,11979,898,470.00
4355022,SIGMA,ACTIVE,23330,1005,493.00
4371032,SIGMA,ACTIVE,7616,898,801.00
5021052,SIGMA,ACTIVE,9119,901,523.00
5021132,SIGMA,ACTIVE,9121,901,476.00
6003092,SIGMA,ACTIVE,6573,893,2217.00
6003112,SIGMA,ACTIVE,6428,893,3028.00
6003172,SIGMA,ACTIVE,12015,893,2094.00
6003205,SIGMA,ACTIVE,11810,893,2155.00
6004265,SIGMA,ACTIVE,1728,893,2433.00
6004275,SIGMA,ACTIVE,1727,893,2680.00
6055192,SIGMA,ACTIVE,2381,949,550.00
711253z,SIGMA,ACTIVE,2354,949,716.00
7411422,SIGMA,ACTIVE,13547,850,2324.00
7411852,SIGMA,ACTIVE,13555,850,2538.00
7417472,SIGMA,ACTIVE,13173,850,1189.00
7417502,SIGMA,ACTIVE,13174,850,1214.00
7417622,SIGMA,ACTIVE,13179,850,755.00
9542330,SIGMA,ACTIVE,35133,1330,622.00
9549249,SIGMA,ACTIVE,35136,1330,245.00
9783822,SIGMA,ACTIVE,29764,1344,290.00
9783825,SIGMA,ACTIVE,29765,1344,443.00
9783827,SIGMA,ACTIVE,29766,1344,394.00
9783829,SIGMA,ACTIVE,29767,1344,745.00
9783830,SIGMA,ACTIVE,29768,1344,748.00
9783831,SIGMA,ACTIVE,29769,1344,755.00
9783832,SIGMA,ACTIVE,29770,1344,1266.00
9783836,SIGMA,ACTIVE,29772,1344,622.00
9784281,SIGMA,ACTIVE,29773,1344,439.00
9784282,SIGMA,ACTIVE,29774,1344,439.00
9784284,SIGMA,ACTIVE,29775,1344,246.00
9784290,SIGMA,ACTIVE,29778,1344,305.00
9784292,SIGMA,ACTIVE,29779,1344,595.00
