sku,supplier,status,prom_offer_id,prom_group_id,fallback_price,fallback_name
1109-0872,ZAINSTRUMENTOM,ACTIVE,,34491,,
1193101,SIGMA,ACTIVE,1193101,902,401.00,Набір свердел по металу HSS-TIN 1–10 мм
122510-2KH,ZAINSTRUMENTOM,ACTIVE,,1023,,
122607-2K,ZAINSTRUMENTOM,ACTIVE,,1023,,
123628-2K,ZAINSTRUMENTOM,ACTIVE,,1019,,
1239800G5-Z,ZAINSTRUMENTOM,ACTIVE,,1019,,
124010-3K,ZAINSTRUMENTOM,ACTIVE,,1019,,
1303311,SIGMA,ACTIVE,1303311,902,186.00,"Набір свердел по дереву перових 6 шт Ø10, 12, 16, 18, 20, 25 мм"
1602-2754,ZAINSTRUMENTOM,ACTIVE,,1028,,
1602-2755,ZAINSTRUMENTOM,ACTIVE,,1028,,
1602-2756,ZAINSTRUMENTOM,ACTIVE,,1028,,
1602-2757,ZAINSTRUMENTOM,ACTIVE,,1028,,
1719691,SIGMA,ACTIVE,1719691,1028,140.00,"Набір свердел по бетону 5 шт 4, 5, 6, 8, 10 мм SIGMA"
20039,ZAINSTRUMENTOM,ACTIVE,20039,899,230.00,"Кювета для фарби Rollingdog Tray King 12” 300 мм Professional"
2723051,SIGMA,ACTIVE,,996,,
3922161,SIGMA,ACTIVE,,935,,
4333121,SIGMA,ACTIVE,,1007,,
50478,ZAINSTRUMENTOM,ACTIVE,,898,,
8021701,SIGMA,ACTIVE,,10098,,
8219105,SIGMA,ACTIVE,,1052808855,,
8301751,SIGMA,ACTIVE,,1021,,
8303141,SIGMA,ACTIVE,,1021,,
8311971,SIGMA,ACTIVE,,1020,,
8312171,SIGMA,ACTIVE,,1020,,
8314225,SIGMA,ACTIVE,,1020,,
8314341,SIGMA,ACTIVE,,1020,,
8316755,SIGMA,ACTIVE,,899,,
8322211,SIGMA,ACTIVE,,1019,,
8322361,SIGMA,ACTIVE,,1019,,
8340231,SIGMA,ACTIVE,,1022,,
8402421,SIGMA,ACTIVE,,1033,,
8425171,SIGMA,ACTIVE,,1033,,
9110031,SIGMA,ACTIVE,,899,,
9411001,SIGMA,ACTIVE,,1050,,
9417491,SIGMA,ACTIVE,,1052,,
9419111,SIGMA,ACTIVE,,1052,,
9419311,SIGMA,ACTIVE,9419311,1052,51.00,Тримач протиаерозольного фільтра (комплект 2 шт.) SIGMA
9420611,SIGMA,ACTIVE,,1052,,
9446441,SIGMA,ACTIVE,,1051,,
AWR2250,GRANDINSTRUMENT,ACTIVE,,945,300.00,
AWR2300,GRANDINSTRUMENT,ACTIVE,,945,382.00,
CKK0118,GRANDINSTRUMENT,ACTIVE,,992,84.00,
EHF0500,GRANDINSTRUMENT,ACTIVE,,1009,194.00,
FC8030,GRANDINSTRUMENT,ACTIVE,,994,257.00,
FIBAFUSE MAX,ZAINSTRUMENTOM,ACTIVE,,839,,
HKS0902,GRANDINSTRUMENT,ACTIVE,,940,111.00,
HSP0300,GRANDINSTRUMENT,ACTIVE,,1006,358.00,
IDC0107,GRANDINSTRUMENT,ACTIVE,,1005,184.00,
ILN0108,GRANDINSTRUMENT,ACTIVE,,1004,174.00,
IPL0108,GRANDINSTRUMENT,ACTIVE,,1004,203.00,
LL102G,GRANDINSTRUMENT,ACTIVE,,908,2201.00,
LWH0040,GRANDINSTRUMENT,ACTIVE,,998,200.00,
MWS0101,GRANDINSTRUMENT,ACTIVE,,951,472.00,
NFGW0601ST,GRANDINSTRUMENT,ACTIVE,,940,999.00,
NKK12ST-S,GRANDINSTRUMENT,ACTIVE,,940,701.00,
NKK12STA,GRANDINSTRUMENT,ACTIVE,,940,720.00,
NKK14STA-S,GRANDINSTRUMENT,ACTIVE,,940,1457.00,
PLC0701,GRANDINSTRUMENT,ACTIVE,,950,211.00,
PLLN0108,GRANDINSTRUMENT,ACTIVE,,1004,142.00,
PLSC0108,GRANDINSTRUMENT,ACTIVE,,1004,155.00,
PLWP0110,GRANDINSTRUMENT,ACTIVE,,1004,208.00,
PM320,GRANDINSTRUMENT,ACTIVE,,911,769.00,
PM8908C,GRANDINSTRUMENT,ACTIVE,,930,369.00,
PMT-0519,GRANDINSTRUMENT,ACTIVE,,999,135.00,
PRO-FL0315S,GRANDINSTRUMENT,ACTIVE,,12118,504.00,
PRO-WS0031,GRANDINSTRUMENT,ACTIVE,,892,1255.00,
PWHD0010,GRANDINSTRUMENT,ACTIVE,,1001,209.00,
PWHD0014,GRANDINSTRUMENT,ACTIVE,,1001,327.00,
SDS07,GRANDINSTRUMENT,ACTIVE,,943,285.00,
SHR2905,GRANDINSTRUMENT,ACTIVE,,1000,231.00,
SPP0301,GRANDINSTRUMENT,ACTIVE,,893,479.00,
ST-1446,GRANDINSTRUMENT,ACTIVE,,893,915.00,
STM-0094-6,GRANDINSTRUMENT,ACTIVE,,893,3350.00,
STM-0108-6,GRANDINSTRUMENT,ACTIVE,,893,3450.00,
TKS0902,GRANDINSTRUMENT,ACTIVE,,940,125.00,
YT-7400,ZAINSTRUMENTOM,ACTIVE,,850,,
YT-82055,ZAINSTRUMENTOM,ACTIVE,,895,,
YT-827722,ZAINSTRUMENTOM,ACTIVE,,895,,
YT-82786,ZAINSTRUMENTOM,ACTIVE,,895,,
YT-828461,ZAINSTRUMENTOM,ACTIVE,,895,,
